direction,direction_id,route_id,route_short_name,LineIdConst
SOUTH,1,6678,230,6678
EAST,0,18213,231,18213
WEST,1,18213,231,18213
EAST,0,6679,232,6679
WEST,1,6679,232,6679
NORTH,0,6680,236,6680
SOUTH,1,6680,236,6680
EAST,0,6682,240,6682
WEST,1,6682,240,6682
NORTH,0,6683,241,6683
SOUTH,1,6683,241,6683
EAST,0,39307,245,39307
WEST,1,39307,245,39307
NORTH,0,6685,246,6685
SOUTH,1,6685,246,6685
NORTH,0,6686,247,6686
SOUTH,1,6686,247,6686
NORTH,0,36799,249,36799
SOUTH,1,36799,249,36799
EAST,0,6687,250,6687
WEST,1,6687,250,6687
EAST,0,6688,251,6688
WEST,1,6688,251,6688
EAST,0,6689,252,6689
WEST,1,6689,252,6689
EAST,0,6690,253,6690
WEST,1,6690,253,6690
NORTH,0,6691,254,6691
SOUTH,1,6691,254,6691
EAST,0,6692,255,6692
WEST,1,6692,255,6692
NORTH,0,10232,256,10232
SOUTH,1,10232,256,10232
EAST,0,6693,257,6693
WEST,1,6693,257,6693
NORTH,0,6779,262,6779
SOUTH,1,6779,262,6779
EAST,0,6777,280,6777
WEST,1,6777,280,6777
NORTH,0,6778,281,6778
SOUTH,1,6778,281,6778
NORTH,0,34544,282,34544
SOUTH,1,34544,282,34544
EAST,0,6698,301,6698
WEST,1,6698,301,6698
EAST,0,6822,310,6822
WEST,1,6822,310,6822
NORTH,0,6699,311,6699
SOUTH,1,6699,311,6699
NORTH,0,6700,312,6700
SOUTH,1,6700,312,6700
EAST,0,6701,314,6701
WEST,1,6701,314,6701
NORTH,0,6702,316,6702
SOUTH,1,6702,316,6702
NORTH,0,6703,319,6703
SOUTH,1,6703,319,6703
EAST,0,6704,320,6704
WEST,1,6704,320,6704
NORTH,0,6705,321,6705
SOUTH,1,6705,321,6705
EAST,0,6821,322,6821
WEST,1,6821,322,6821
NORTH,0,6706,323,6706
SOUTH,1,6706,323,6706
NORTH,0,6707,324,6707
SOUTH,1,6707,324,6707
NORTH,0,6708,325,6708
SOUTH,1,6708,325,6708
EAST,0,6709,326,6709
WEST,1,6709,326,6709
NORTH,0,6710,329,6710
SOUTH,1,6710,329,6710
EAST,0,6712,335,6712
WEST,1,6712,335,6712
EAST,0,17707,337,17707
WEST,1,17707,337,17707
EAST,0,48855,338,48855
WEST,1,48855,338,48855
EAST,0,6713,340,6713
WEST,1,6713,340,6713
NORTH,0,8290,341,8290
SOUTH,1,8290,341,8290
EAST,0,29038,342,29038
WEST,1,29038,342,29038
NORTH,0,6714,345,6714
SOUTH,1,6714,345,6714
EAST,0,40855,350,40855
WEST,1,40855,350,40855
NORTH,0,6715,351,6715
SOUTH,1,6715,351,6715
NORTH,0,6716,352,6716
SOUTH,1,6716,352,6716
NORTH,0,6717,354,6717
SOUTH,1,6717,354,6717
EAST,0,31816,360,31816
WEST,1,31816,360,31816
EAST,0,31817,361,31817
WEST,1,31817,361,31817
NORTH,0,31818,362,31818
SOUTH,1,31818,362,31818
NORTH,0,31819,363,31819
SOUTH,1,31819,363,31819
EAST,0,11692,364,11692
WEST,1,11692,364,11692
EAST,0,8286,370,8286
WEST,1,8286,370,8286
EAST,0,6818,371,6818
WEST,1,6818,371,6818
EAST,0,31820,372,31820
WEST,1,31820,372,31820
EAST,0,6819,373,6819
WEST,1,6819,373,6819
NORTH,0,7321,375,7321
SOUTH,1,7321,375,7321
EAST,0,11693,388,11693
WEST,1,11693,388,11693
NORTH,0,6718,391,6718
SOUTH,1,6718,391,6718
NORTH,0,6719,393,6719
SOUTH,1,6719,393,6719
NORTH,0,6720,394,6720
SOUTH,1,6720,394,6720
EAST,0,6721,395,6721
WEST,1,6721,395,6721
EAST,0,6722,401,6722
WEST,1,6722,401,6722
NORTH,0,6723,402,6723
SOUTH,1,6723,402,6723
NORTH,0,6724,403,6724
SOUTH,1,6724,403,6724
EAST,0,6725,404,6725
WEST,1,6725,404,6725
NORTH,0,6726,405,6726
SOUTH,1,6726,405,6726
NORTH,0,34542,406,34542
SOUTH,1,34542,406,34542
NORTH,0,6727,407,6727
SOUTH,1,6727,407,6727
EAST,0,34543,408,34543
WEST,1,34543,408,34543
EAST,0,6728,410,6728
WEST,1,6728,410,6728
EAST,0,6827,412,6827
WEST,1,6827,412,6827
EAST,0,6828,413,6828
WEST,1,6828,413,6828
EAST,0,13684,414,13684
WEST,1,13684,414,13684
EAST,0,6829,416,6829
WEST,1,6829,416,6829
NORTH,0,9745,418,9745
SOUTH,1,9745,418,9745
EAST,0,6730,430,6730
WEST,1,6730,430,6730
NORTH,0,6737,501,6737
SOUTH,1,6737,501,6737
EAST,0,6738,502,6738
WEST,1,6738,502,6738
EAST,0,23384,503,23384
WEST,1,23384,503,23384
EAST,0,6739,509,6739
WEST,1,6739,509,6739
NORTH,0,18705,531,18705
SOUTH,1,18705,531,18705
EAST,0,20667,555,20667
WEST,1,20667,555,20667
EAST,0,34044,560,34044
WEST,1,34044,560,34044
EAST,0,34045,561,34045
WEST,1,34045,561,34045
NORTH,0,6814,562,6814
SOUTH,1,6814,562,6814
NORTH,0,6815,563,6815
SOUTH,1,6815,563,6815
EAST,0,6816,564,6816
WEST,1,6816,564,6816
NORTH,0,12940,595,12940
SOUTH,1,12940,595,12940
NORTH,0,6741,601,6741
SOUTH,1,6741,601,6741
NORTH,0,6742,602,6742
SOUTH,1,6742,602,6742
NORTH,0,6743,603,6743
SOUTH,1,6743,603,6743
NORTH,0,6744,604,6744
SOUTH,1,6744,604,6744
EAST,0,6745,606,6745
WEST,1,6745,606,6745
EAST,0,6746,608,6746
WEST,1,6746,608,6746
NORTH,0,11696,609,11696
SOUTH,1,11696,609,11696
NORTH,0,6843,614,6843
SOUTH,1,6843,614,6843
EAST,0,6823,616,6823
WEST,1,6823,616,6823
NORTH,0,6825,618,6825
SOUTH,1,6825,618,6825
NORTH,0,6844,619,6844
SOUTH,1,6844,619,6844
NORTH,0,6747,620,6747
SOUTH,1,6747,620,6747
NORTH,0,6748,640,6748
SOUTH,1,6748,640,6748
EAST,0,6749,701,6749
WEST,1,6749,701,6749
NORTH,0,34540,719,34540
SOUTH,1,34540,719,34540
NORTH,0,34541,722,34541
SOUTH,1,34541,722,34541
NORTH,0,31821,733,31821
SOUTH,1,31821,733,31821
NORTH,0,31822,741,31822
SOUTH,1,31822,741,31822
EAST,0,6799,743,6799
WEST,1,6799,743,6799
EAST,0,6800,744,6800
WEST,1,6800,744,6800
EAST,0,34042,745,34042
WEST,1,34042,745,34042
EAST,0,34043,746,34043
WEST,1,34043,746,34043
EAST,0,6804,748,6804
WEST,1,6804,748,6804
EAST,0,6805,749,6805
